,class,x,y,w,h,frameNo
9420,5,0.454167,0.508594,0.8,0.185937,6162
9740,5,0.434028,0.505469,0.795833,0.185937,6163
11035,5,0.420833,0.504687,0.791667,0.1875,6164
11297,5,0.389583,0.504687,0.779167,0.185937,6165
10525,5,0.379167,0.503906,0.758333,0.182812,6166
10248,5,0.370833,0.503516,0.741667,0.180469,6167
256,5,0.357639,0.505859,0.715278,0.178906,6168
527,5,0.338889,0.504687,0.677778,0.178125,6169
11028,5,0.324306,0.505078,0.648611,0.178906,6170
11320,5,0.31875,0.504687,0.6375,0.175,6171
10500,5,0.304167,0.50625,0.605556,0.171875,6172
10254,5,0.289583,0.505078,0.579167,0.175781,6173
8953,5,0.277083,0.504297,0.554167,0.172656,6174
8645,5,0.270139,0.503516,0.540278,0.174219,6175
9445,5,0.25625,0.502734,0.5125,0.174219,6176
9735,5,0.242361,0.503906,0.484722,0.171875,6177
2940,5,0.228472,0.502734,0.456944,0.166406,6178
2645,5,0.220139,0.501172,0.440278,0.167969,6179
1005,5,0.211111,0.501172,0.422222,0.166406,6180
1389,5,0.196528,0.501953,0.393056,0.164844,6181
579,5,0.186111,0.501172,0.372222,0.166406,6182
217,5,0.175694,0.501953,0.351389,0.167969,6183
2186,5,0.165972,0.498828,0.331944,0.166406,6184
1823,5,0.158333,0.499219,0.316667,0.164062,6185
2629,5,0.141667,0.496875,0.283333,0.165625,6186
2960,5,0.134028,0.499219,0.268056,0.165625,6187
9764,5,0.119444,0.497266,0.238889,0.164844,6188
9414,5,0.111111,0.498047,0.219444,0.161719,6189
2171,5,0.0986111,0.496484,0.194444,0.161719,6190
1830,5,0.0861111,0.495313,0.172222,0.159375,6191
2624,5,0.0756944,0.495313,0.151389,0.159375,6192
2971,5,0.0645833,0.496094,0.129167,0.154687,6193
1022,5,0.0541667,0.495313,0.108333,0.157813,6194
1379,5,0.0333333,0.494141,0.0638889,0.153906,6195
583,5,0.0354167,0.492969,0.0680556,0.148438,6196
207,5,0.0229167,0.487891,0.0458333,0.150781,6197
2399,5,0.0305556,0.497266,0.0611111,0.0960938,8585
9205,5,0.0527778,0.496484,0.105556,0.0992187,8588
9964,5,0.0576389,0.496875,0.115278,0.096875,8589
1617,5,0.0631944,0.498828,0.126389,0.0960938,8590
2385,5,0.0680556,0.499219,0.133333,0.096875,8591
3189,5,0.0729167,0.499609,0.143056,0.0976562,8592
2409,5,0.0770833,0.498828,0.151389,0.0976562,8593
1555,5,0.0805556,0.500391,0.158333,0.0976562,8594
845,5,0.0847222,0.499609,0.166667,0.0976562,8595
35,5,0.0909722,0.500391,0.181944,0.0992187,8596
752,5,0.0944444,0.5,0.188889,0.101562,8597
10750,5,0.0979167,0.501172,0.195833,0.102344,8598
10011,5,0.102778,0.500391,0.205556,0.102344,8599
9709,5,0.111111,0.501172,0.219444,0.102344,8600
9461,5,0.115972,0.500391,0.229167,0.102344,8601
8675,5,0.11875,0.501953,0.234722,0.100781,8602
8933,5,0.123611,0.501172,0.244444,0.100781,8603
10236,5,0.128472,0.503125,0.254167,0.101562,8604
10529,5,0.133333,0.501953,0.263889,0.103906,8605
11332,5,0.138194,0.504297,0.273611,0.105469,8606
11004,5,0.143056,0.503125,0.283333,0.10625,8607
1044,5,0.147222,0.504297,0.294444,0.105469,8608
1357,5,0.149306,0.503125,0.293056,0.10625,8609
10225,5,0.158333,0.503906,0.308333,0.10625,8610
10538,5,0.1625,0.503906,0.322222,0.10625,8611
11327,5,0.163889,0.503906,0.327778,0.10625,8612
11012,5,0.16875,0.503906,0.3375,0.107813,8613
9720,5,0.175694,0.504297,0.351389,0.107031,8614
9450,5,0.183333,0.503516,0.363889,0.107031,8615
8679,5,0.188889,0.504297,0.372222,0.107031,8616
8927,5,0.193056,0.505078,0.383333,0.108594,8617
2130,5,0.197222,0.505078,0.391667,0.108594,8618
1879,5,0.2,0.505078,0.394444,0.110156,8619
1075,5,0.208333,0.504687,0.405556,0.109375,8620
1322,5,0.213889,0.505469,0.422222,0.109375,8621
532,5,0.217361,0.504297,0.434722,0.110156,8622
261,5,0.221528,0.503906,0.443056,0.110937,8623
2156,5,0.229861,0.503906,0.456944,0.107813,8624
1851,5,0.234028,0.505469,0.465278,0.109375,8625
2640,5,0.240972,0.505078,0.481944,0.110156,8626
2948,5,0.246528,0.507031,0.493056,0.110937,8627
9747,5,0.250694,0.507031,0.501389,0.1125,8628
9427,5,0.25625,0.507812,0.5125,0.110937,8629
2162,5,0.263889,0.508203,0.525,0.114844,8630
1842,5,0.265972,0.508984,0.531944,0.113281,8631
2652,5,0.270139,0.507422,0.540278,0.113281,8632
2942,5,0.276389,0.508594,0.552778,0.1125,8633
1068,5,0.282639,0.507422,0.565278,0.111719,8634
1331,5,0.289583,0.508203,0.576389,0.110156,8635
521,5,0.297917,0.507422,0.593056,0.110156,8636
267,5,0.302778,0.510938,0.605556,0.109375,8637
10262,5,0.311111,0.510938,0.605556,0.110937,8638
10508,5,0.323611,0.510938,0.602778,0.110937,8639
3420,5,0.338194,0.510938,0.593056,0.1125,8640
3613,5,0.35625,0.510547,0.581944,0.113281,8641
4245,5,0.371528,0.511328,0.576389,0.113281,8642
4079,5,0.380556,0.510938,0.6,0.11875,8643
5560,5,0.39375,0.513672,0.584722,0.114844,8644
5326,5,0.402778,0.513281,0.588889,0.115625,8645
4687,5,0.413194,0.514453,0.590278,0.116406,8646
4892,5,0.421528,0.514844,0.601389,0.115625,8647
6215,5,0.43125,0.514844,0.601389,0.115625,8648
6010,5,0.447917,0.514453,0.601389,0.114844,8649
5550,5,0.461806,0.515625,0.604167,0.114063,8650
5333,5,0.472222,0.515625,0.602778,0.11875,8651
4679,5,0.48125,0.516797,0.595833,0.114844,8652
4905,5,0.501389,0.517578,0.602778,0.116406,8653
3430,5,0.514583,0.517969,0.598611,0.115625,8654
3606,5,0.525,0.517969,0.602778,0.11875,8655
4252,5,0.5375,0.517969,0.608333,0.115625,8656
4066,5,0.551389,0.517969,0.602778,0.115625,8657
8008,5,0.560417,0.51875,0.601389,0.115625,8658
8183,5,0.570139,0.519922,0.604167,0.117969,8659
6201,5,0.583333,0.521484,0.613889,0.116406,8660
6019,5,0.6,0.522266,0.619444,0.116406,8661
6699,5,0.613889,0.522266,0.625,0.117969,8662
6866,5,0.626389,0.522266,0.622222,0.117969,8663
7983,5,0.6375,0.521875,0.619444,0.11875,8664
8206,5,0.651389,0.523047,0.613889,0.121094,8665
7541,5,0.661111,0.523047,0.619444,0.119531,8666
7336,5,0.681944,0.524219,0.636111,0.11875,8667
3412,5,0.686111,0.525391,0.627778,0.121094,8668
3626,5,0.694444,0.523828,0.611111,0.119531,8669
7994,5,0.701389,0.525,0.591667,0.123438,8670
8192,5,0.702778,0.525,0.594444,0.123438,8671
7552,5,0.713194,0.525391,0.573611,0.122656,8672
7330,5,0.718056,0.525391,0.563889,0.122656,8673
6191,5,0.724306,0.525781,0.551389,0.121875,8674
6032,5,0.731944,0.525781,0.533333,0.120312,8675
6690,5,0.738889,0.527344,0.522222,0.125,8676
6872,5,0.741667,0.526172,0.505556,0.122656,8677
5544,5,0.749306,0.526563,0.498611,0.121875,8678
5346,5,0.756944,0.526953,0.486111,0.122656,8679
4038,5,0.7625,0.525,0.472222,0.117188,8680
4285,5,0.76875,0.525,0.451389,0.117188,8681
3655,5,0.775,0.526172,0.438889,0.116406,8682
3378,5,0.78125,0.525781,0.426389,0.117188,8683
4922,5,0.786806,0.526953,0.4125,0.119531,8684
4658,5,0.792361,0.526563,0.401389,0.117188,8685
5291,5,0.798611,0.527734,0.391667,0.116406,8686
5598,5,0.808333,0.527344,0.377778,0.117188,8687
6928,5,0.813889,0.528516,0.366667,0.114844,8688
6630,5,0.822917,0.529297,0.348611,0.114844,8689
4932,5,0.829861,0.529688,0.331944,0.114063,8690
4655,5,0.836806,0.530859,0.320833,0.113281,8691
5297,5,0.841667,0.532031,0.308333,0.114063,8692
5581,5,0.847917,0.533594,0.293056,0.1125,8693
4028,5,0.853472,0.532812,0.281944,0.110937,8694
4288,5,0.861111,0.533594,0.266667,0.1125,8695
3648,5,0.86875,0.533984,0.254167,0.111719,8696
3392,5,0.878472,0.535156,0.243056,0.114063,8697
7317,5,0.882639,0.534375,0.226389,0.115625,8698
7560,5,0.890278,0.535156,0.211111,0.117188,8699
6272,5,0.898611,0.535156,0.197222,0.114063,8700
5954,5,0.903472,0.535156,0.1875,0.1125,8701
6609,5,0.911111,0.530469,0.169444,0.10625,8702
6949,5,0.919444,0.532812,0.155556,0.10625,8703
7919,5,0.927083,0.530859,0.145833,0.102344,8704
8266,5,0.933333,0.533594,0.127778,0.103125,8705
7623,5,0.941667,0.532422,0.116667,0.102344,8706
3334,5,0.952083,0.53125,0.0958333,0.103125,8708
4915,5,0.05625,0.496875,0.1125,0.1,13613
3669,5,0.0715278,0.497266,0.143056,0.102344,13615
4295,5,0.0798611,0.498828,0.159722,0.100781,13616
4023,5,0.0875,0.499609,0.172222,0.102344,13617
7966,5,0.0944444,0.500781,0.188889,0.103125,13618
8228,5,0.103472,0.499219,0.206944,0.103125,13619
6254,5,0.111806,0.5,0.223611,0.103125,13620
5967,5,0.118056,0.499219,0.236111,0.104687,13621
6633,5,0.125,0.501172,0.247222,0.105469,13622
6931,5,0.134722,0.500391,0.266667,0.107031,13623
7974,5,0.142361,0.503125,0.279167,0.109375,13624
8217,5,0.15625,0.5,0.304167,0.109375,13625
7564,5,0.1625,0.503125,0.316667,0.107813,13626
7313,5,0.167361,0.502344,0.326389,0.110937,13627
3385,5,0.171528,0.503516,0.334722,0.110156,13628
3658,5,0.179861,0.502344,0.351389,0.110937,13629
7970,5,0.188194,0.503906,0.368056,0.110937,13630
8219,5,0.195139,0.503516,0.3875,0.113281,13631
7561,5,0.203472,0.504687,0.398611,0.110937,13632
7320,5,0.210417,0.505078,0.420833,0.113281,13633
6259,5,0.221528,0.505859,0.443056,0.111719,13634
5966,5,0.229167,0.505859,0.458333,0.113281,13635
6637,5,0.234722,0.506641,0.469444,0.114844,13636
6923,5,0.243056,0.507812,0.486111,0.110937,13637
5586,5,0.252083,0.507812,0.504167,0.1125,13638
5303,5,0.257639,0.508594,0.515278,0.114063,13639
9782,5,0.269444,0.508203,0.538889,0.116406,13640
9383,5,0.275,0.507812,0.55,0.114063,13641
