,class,x,y,w,h,frameNo
890,5,0.636979,0.421296,0.0427083,0.172222,8182
987,5,0.640625,0.423148,0.0333333,0.172222,8183
1184,5,0.621354,0.402778,0.0697917,0.301852,13001
1501,5,0.590625,0.406481,0.133333,0.301852,13006
1445,5,0.583333,0.40463,0.145833,0.305556,13007
650,5,0.576563,0.40463,0.157292,0.305556,13008
702,5,0.571875,0.400926,0.16875,0.305556,13009
1574,5,0.564062,0.40463,0.184375,0.301852,13010
1638,5,0.558854,0.402778,0.194792,0.301852,13011
1506,5,0.553125,0.403704,0.208333,0.303704,13012
1439,5,0.546875,0.402778,0.220833,0.305556,13013
1234,5,0.540625,0.405556,0.233333,0.307407,13014
1185,5,0.535417,0.40463,0.245833,0.305556,13015
1312,5,0.528646,0.401852,0.259375,0.303704,13016
1369,5,0.522396,0.400926,0.269792,0.301852,13017
1099,5,0.517187,0.399074,0.282292,0.298148,13018
1051,5,0.511979,0.402778,0.294792,0.305556,13019
652,5,0.507812,0.4,0.301042,0.303704,13020
701,5,0.510938,0.399074,0.323958,0.305556,13021
826,5,0.502604,0.399074,0.313542,0.309259,13022
786,5,0.502083,0.396296,0.314583,0.3,13023
1105,5,0.504167,0.397222,0.316667,0.305556,13024
1046,5,0.503646,0.397222,0.315625,0.309259,13025
914,5,0.502604,0.39537,0.311458,0.301852,13026
963,5,0.502083,0.394444,0.314583,0.3,13027
1237,5,0.501042,0.396296,0.314583,0.303704,13028
1180,5,0.498437,0.399074,0.311458,0.32037,13029
964,5,0.491667,0.413889,0.289583,0.287037,13033
657,5,0.483854,0.403704,0.282292,0.303704,13034
696,5,0.479688,0.405556,0.269792,0.3,13035
828,5,0.472917,0.4,0.254167,0.303704,13036
785,5,0.466146,0.398148,0.240625,0.3,13037
334,5,0.385417,0.384259,0.0854167,0.287037,13051
2111,5,0.619271,0.441667,0.078125,0.209259,17217
109,5,0.614583,0.440741,0.0875,0.222222,17218
40,5,0.608854,0.442593,0.0947917,0.225926,17219
493,5,0.604688,0.442593,0.105208,0.225926,17220
569,5,0.598958,0.442593,0.116667,0.222222,17221
409,5,0.594792,0.439815,0.127083,0.227778,17222
336,5,0.589583,0.440741,0.135417,0.225926,17223
105,5,0.583854,0.440741,0.144792,0.225926,17224
44,5,0.579687,0.441667,0.153125,0.224074,17225
195,5,0.575521,0.439815,0.163542,0.227778,17226
253,5,0.56875,0.440741,0.175,0.225926,17227
2269,5,0.564062,0.438889,0.182292,0.222222,17228
2203,5,0.560938,0.437963,0.190625,0.224074,17229
104,5,0.555208,0.438889,0.2,0.222222,17230
47,5,0.551042,0.439815,0.210417,0.224074,17231
192,5,0.548437,0.437037,0.223958,0.222222,17232
254,5,0.542708,0.437037,0.23125,0.222222,17233
494,5,0.536979,0.437963,0.240625,0.227778,17234
565,5,0.53125,0.437963,0.252083,0.227778,17235
412,5,0.527604,0.437963,0.261458,0.227778,17236
335,5,0.523438,0.437963,0.269792,0.227778,17237
1714,5,0.518229,0.438889,0.278125,0.22963,17238
1784,5,0.514063,0.437963,0.290625,0.224074,17239
915,5,0.508333,0.439815,0.297917,0.231481,17240
962,5,0.505208,0.437963,0.308333,0.231481,17241
1103,5,0.501562,0.439815,0.311458,0.235185,17242
1048,5,0.501562,0.437963,0.317708,0.231481,17243
825,5,0.502604,0.440741,0.313542,0.22963,17244
787,5,0.503125,0.442593,0.3125,0.225926,17245
654,5,0.501562,0.437037,0.313542,0.22963,17246
699,5,0.502083,0.438889,0.314583,0.225926,17247
1499,5,0.501042,0.438889,0.310417,0.225926,17248
1446,5,0.501042,0.443519,0.310417,0.22037,17249
830,5,0.500521,0.441667,0.311458,0.216667,17250
783,5,0.497396,0.442593,0.311458,0.211111,17251
656,5,0.498958,0.444444,0.310417,0.214815,17252
697,5,0.496354,0.443519,0.307292,0.216667,17253
911,5,0.491667,0.442593,0.3,0.214815,17254
966,5,0.488021,0.440741,0.286458,0.211111,17255
1101,5,0.482292,0.442593,0.272917,0.211111,17256
1050,5,0.475521,0.442593,0.261458,0.211111,17257
1310,5,0.471354,0.440741,0.255208,0.211111,17258
1370,5,0.467187,0.441667,0.248958,0.212963,17259
1503,5,0.463021,0.443519,0.238542,0.205556,17260
1443,5,0.457292,0.441667,0.227083,0.205556,17261
1573,5,0.453125,0.440741,0.220833,0.207407,17262
1639,5,0.448438,0.440741,0.207292,0.207407,17263
1315,5,0.442708,0.440741,0.197917,0.207407,17264
1365,5,0.438021,0.437963,0.190625,0.205556,17265
1235,5,0.433854,0.439815,0.186458,0.209259,17266
1183,5,0.429167,0.439815,0.172917,0.205556,17267
917,5,0.425,0.438889,0.1625,0.211111,17268
959,5,0.420833,0.437037,0.15625,0.211111,17269
1313,5,0.414583,0.437963,0.145833,0.205556,17270
1368,5,0.410417,0.436111,0.1375,0.205556,17271
1232,5,0.406771,0.434259,0.128125,0.209259,17272
1187,5,0.401042,0.424074,0.116667,0.222222,17273
1505,5,0.396875,0.428704,0.108333,0.205556,17274
1440,5,0.392188,0.430556,0.0989583,0.201852,17275
1576,5,0.388021,0.430556,0.090625,0.201852,17276
1636,5,0.383854,0.431481,0.0822917,0.207407,17277
831,5,0.379167,0.42963,0.0729167,0.203704,17278
781,5,0.375,0.428704,0.0645833,0.205556,17279
1055,5,0.370833,0.428704,0.0583333,0.205556,17280
1095,5,0.364583,0.425,0.05,0.205556,17281
954,5,0.360938,0.425,0.0385417,0.201852,17282
924,5,0.357292,0.422222,0.0291667,0.2,17283
339,5,0.620833,0.45,0.075,0.214815,18138
408,5,0.619271,0.451852,0.0822917,0.222222,18139
1186,5,0.616146,0.450926,0.0864583,0.216667,18140
1233,5,0.610937,0.449074,0.090625,0.22037,18141
1367,5,0.609375,0.451852,0.09375,0.225926,18142
1314,5,0.608333,0.451852,0.0958333,0.225926,18143
1637,5,0.605208,0.453704,0.102083,0.225926,18144
1575,5,0.599479,0.451852,0.113542,0.225926,18145
1441,5,0.595833,0.451852,0.120833,0.225926,18146
1504,5,0.592708,0.451852,0.125,0.222222,18147
705,5,0.589583,0.451852,0.13125,0.225926,18148
649,5,0.586458,0.450926,0.139583,0.224074,18149
1640,5,0.584375,0.450926,0.141667,0.224074,18150
1572,5,0.580729,0.449074,0.148958,0.227778,18151
1444,5,0.578646,0.448148,0.155208,0.225926,18152
1502,5,0.575521,0.45,0.159375,0.22963,18153
1182,5,0.573438,0.449074,0.163542,0.227778,18154
1236,5,0.571354,0.448148,0.169792,0.22963,18155
