,class,x,y,w,h,frameNo
7991,5,0.836111,0.434375,0.325,0.109375,7733
9785,5,0.840278,0.435937,0.313889,0.110937,7734
9406,5,0.85625,0.435156,0.284722,0.110937,7735
10153,5,0.868056,0.435937,0.255556,0.109375,7736
10510,5,0.879861,0.434766,0.234722,0.107031,7737
1272,5,0.89375,0.435937,0.206944,0.107813,7738
925,5,0.904167,0.433984,0.188889,0.108594,7739
7339,5,0.927778,0.428906,0.136111,0.103125,7741
6733,5,0.941667,0.43125,0.111111,0.10625,7742
5062,5,0.81875,0.458984,0.345833,0.107031,11049
5655,5,0.802083,0.461328,0.365278,0.103906,11050
6312,5,0.73125,0.462109,0.3875,0.100781,11052
5321,5,0.927083,0.446094,0.1375,0.117188,14086
4765,5,0.918056,0.451172,0.163889,0.125781,14087
5998,5,0.909028,0.443359,0.181944,0.127344,14088
6573,5,0.891667,0.451562,0.216667,0.125,14089
4136,5,0.877778,0.448828,0.244444,0.124219,14090
4713,5,0.869444,0.447656,0.261111,0.126563,14091
5353,5,0.857639,0.447266,0.284722,0.125781,14092
4751,5,0.845833,0.446094,0.305556,0.125,14093
4079,5,0.839583,0.444922,0.320833,0.130469,14094
3561,5,0.816667,0.444531,0.361111,0.125,14095
2925,5,0.817361,0.446094,0.3625,0.129688,14096
3479,5,0.802083,0.443359,0.395833,0.124219,14097
7154,5,0.797917,0.441406,0.404167,0.125,14098
6621,5,0.7875,0.443359,0.425,0.128906,14099
5661,5,0.771528,0.441797,0.454167,0.125781,14100
5689,5,0.760417,0.442187,0.479167,0.129688,14101
6287,5,0.754167,0.442578,0.491667,0.130469,14102
7463,5,0.724306,0.442578,0.551389,0.121094,14105
6868,5,0.714583,0.444922,0.570833,0.127344,14106
6911,5,0.715278,0.445703,0.569444,0.124219,14107
3222,5,0.697222,0.446484,0.597222,0.122656,14108
3178,5,0.684722,0.437891,0.627778,0.133594,14109
7527,5,0.680556,0.451562,0.638889,0.125,14110
7473,5,0.660417,0.439453,0.6625,0.136719,14111
6862,5,0.6625,0.446484,0.675,0.122656,14112
6924,5,0.65625,0.445703,0.6875,0.119531,14113
5675,5,0.645139,0.441797,0.709722,0.138281,14114
5679,5,0.642361,0.446094,0.715278,0.123438,14115
6270,5,0.627778,0.447656,0.672222,0.121875,14117
5032,5,0.616667,0.442187,0.672222,0.125,14118
5058,5,0.613194,0.439844,0.659722,0.132812,14119
3212,5,0.579861,0.444531,0.659722,0.121875,14120
3184,5,0.570139,0.438281,0.648611,0.128125,14121
3816,5,0.541667,0.442187,0.633333,0.11875,14122
3823,5,0.542361,0.440234,0.629167,0.130469,14123
5013,5,0.523611,0.448828,0.605556,0.119531,14124
5077,5,0.49375,0.439063,0.6375,0.129688,14125
4449,5,0.479167,0.446094,0.6,0.115625,14126
4401,5,0.483333,0.442187,0.552778,0.123438,14127
5654,5,0.510417,0.446875,0.498611,0.120312,14128
5704,5,0.508333,0.44375,0.45,0.115625,14129
5065,5,0.477083,0.445703,0.429167,0.113281,14131
4473,5,0.455556,0.439453,0.461111,0.122656,14132
4394,5,0.472917,0.444141,0.423611,0.113281,14133
3210,5,0.456944,0.438281,0.402778,0.123438,14134
3198,5,0.444444,0.446094,0.352778,0.114063,14135
3794,5,0.442361,0.443359,0.315278,0.113281,14136
3831,5,0.427083,0.439063,0.334722,0.125,14137
7522,5,0.415278,0.444141,0.3,0.113281,14138
7491,5,0.392361,0.439063,0.326389,0.123438,14139
1103,5,0.383333,0.444922,0.288889,0.113281,14140
355,5,0.359722,0.442969,0.283333,0.110937,14142
391,5,0.333333,0.439453,0.302778,0.122656,14143
1804,5,0.325,0.443359,0.291667,0.113281,14144
10127,5,0.946528,0.451562,0.106944,0.126563,20189
149,5,0.922222,0.449609,0.155556,0.125781,20191
1306,5,0.896528,0.452734,0.206944,0.122656,20193
2765,5,0.877083,0.445703,0.240278,0.132031,20195
2042,5,0.866667,0.448438,0.261111,0.132812,20196
1616,5,0.8625,0.441406,0.269444,0.139062,20197
7946,5,0.847917,0.444922,0.295833,0.139844,20198
8348,5,0.835417,0.446875,0.320833,0.132812,20199
10224,5,0.811111,0.439063,0.372222,0.145313,20200
10422,5,0.811806,0.444531,0.373611,0.135937,20201
9691,5,0.802778,0.447656,0.394444,0.128125,20202
9519,5,0.786806,0.439844,0.415278,0.1375,20203
8221,5,0.776389,0.450391,0.447222,0.128906,20204
8082,5,0.767361,0.442969,0.465278,0.135937,20205
8808,5,0.754167,0.45,0.491667,0.1375,20206
8929,5,0.747917,0.4375,0.504167,0.142188,20207
2599,5,0.742361,0.448047,0.515278,0.133594,20208
2475,5,0.723611,0.441797,0.538889,0.146094,20209
8199,5,0.723611,0.448047,0.552778,0.133594,20210
8088,5,0.715278,0.444922,0.561111,0.141406,20211
8795,5,0.704861,0.446875,0.581944,0.1375,20212
8958,5,0.690972,0.447266,0.604167,0.136719,20213
10251,5,0.676389,0.436719,0.638889,0.142188,20214
10416,5,0.663194,0.446875,0.640278,0.128125,20215
9703,5,0.652083,0.438672,0.670833,0.138281,20216
9487,5,0.643056,0.447656,0.661111,0.132812,20217
268,5,0.616667,0.440625,0.683333,0.135937,20218
482,5,0.605556,0.446484,0.669444,0.135156,20219
2642,5,0.583333,0.448828,0.655556,0.135156,20220
2419,5,0.579167,0.440234,0.616667,0.133594,20221
1750,5,0.563194,0.442578,0.615278,0.127344,20222
1913,5,0.551389,0.442187,0.611111,0.134375,20223
290,5,0.527778,0.441016,0.622222,0.138281,20224
454,5,0.497917,0.444531,0.593056,0.125,20225
1156,5,0.484028,0.44375,0.579167,0.126563,20226
1035,5,0.479167,0.441406,0.583333,0.129688,20227
