,class,x,y,w,h,frameNo
8969,5,0.228472,0.467578,0.451389,0.114844,7465
8368,5,0.234028,0.469531,0.465278,0.1125,7466
8574,5,0.240278,0.469531,0.477778,0.114063,7467
434,5,0.245139,0.470313,0.484722,0.114063,7468
200,5,0.254167,0.470313,0.502778,0.115625,7469
9208,5,0.261111,0.471094,0.519444,0.114063,7470
8992,5,0.267361,0.471484,0.531944,0.114844,7471
8350,5,0.273611,0.471875,0.547222,0.117188,7472
8578,5,0.282639,0.471875,0.5625,0.114063,7473
7125,5,0.29375,0.469141,0.579167,0.113281,7474
7317,5,0.295833,0.473828,0.588889,0.111719,7475
7960,5,0.302778,0.473828,0.594444,0.111719,7476
7756,5,0.318056,0.473828,0.605556,0.113281,7477
2056,5,0.327778,0.476562,0.611111,0.115625,7478
2270,5,0.335417,0.476172,0.620833,0.116406,7479
1057,5,0.365972,0.477344,0.590278,0.117188,7480
795,5,0.388889,0.480078,0.583333,0.117969,7481
169,5,0.398611,0.480859,0.591667,0.117969,7482
468,5,0.414583,0.482422,0.590278,0.119531,7483
1397,5,0.420139,0.482812,0.595833,0.11875,7484
1688,5,0.438194,0.482812,0.601389,0.120312,7485
2327,5,0.450694,0.484375,0.609722,0.120312,7486
1996,5,0.467361,0.484375,0.601389,0.11875,7487
7698,5,0.484722,0.484766,0.597222,0.119531,7488
8016,5,0.502083,0.487891,0.601389,0.122656,7489
1380,5,0.520139,0.488672,0.606944,0.125781,7490
1694,5,0.532639,0.491797,0.615278,0.127344,7491
2318,5,0.546528,0.494141,0.6125,0.133594,7492
2017,5,0.5625,0.492969,0.608333,0.129688,7493
1069,5,0.575694,0.491797,0.604167,0.122656,7494
788,5,0.597222,0.495313,0.608333,0.13125,7495
181,5,0.615278,0.495313,0.619444,0.13125,7496
449,5,0.633333,0.496484,0.616667,0.133594,7497
8602,5,0.640972,0.498828,0.623611,0.141406,7498
8339,5,0.654167,0.497656,0.630556,0.135937,7499
7047,5,0.68125,0.497266,0.623611,0.130469,7500
7395,5,0.690972,0.498047,0.615278,0.132031,7501
8037,5,0.700694,0.498047,0.598611,0.130469,7502
7678,5,0.706944,0.5,0.586111,0.134375,7503
9288,5,0.7125,0.497266,0.575,0.132031,7504
8911,5,0.721528,0.496094,0.556944,0.129688,7505
8280,5,0.727778,0.496875,0.536111,0.13125,7506
8655,5,0.734722,0.498437,0.527778,0.134375,7507
510,5,0.74375,0.498047,0.509722,0.132031,7508
122,5,0.750694,0.500781,0.493056,0.135937,7509
9291,5,0.760417,0.498437,0.479167,0.128125,7510
8900,5,0.775694,0.499609,0.443056,0.127344,7511
8292,5,0.772222,0.498047,0.441667,0.124219,7512
8652,5,0.779861,0.502734,0.426389,0.132031,7513
7045,5,0.7875,0.501172,0.419444,0.128906,7514
7405,5,0.796528,0.501172,0.398611,0.127344,7515
8024,5,0.804167,0.502734,0.377778,0.128906,7516
7681,5,0.813889,0.500391,0.361111,0.125781,7517
1995,5,0.822917,0.499609,0.345833,0.122656,7518
2338,5,0.83125,0.500391,0.326389,0.121094,7519
486,5,0.838889,0.501172,0.308333,0.121094,7520
140,5,0.847222,0.500781,0.291667,0.120312,7521
756,5,0.852778,0.500781,0.283333,0.11875,7522
1107,5,0.863889,0.502344,0.263889,0.117188,7523
1984,5,0.873611,0.503516,0.241667,0.116406,7524
2353,5,0.880556,0.504687,0.227778,0.11875,7525
1729,5,0.890278,0.504297,0.211111,0.121094,7526
1342,5,0.899306,0.509375,0.195833,0.126563,7527
7420,5,0.915278,0.5,0.163889,0.109375,7529
2358,5,0.932639,0.503516,0.129167,0.110156,7531
9166,5,0.921528,0.507812,0.154167,0.134375,7841
8516,5,0.914583,0.50625,0.1625,0.134375,7842
8418,5,0.909028,0.507422,0.173611,0.133594,7843
7304,5,0.902778,0.506641,0.186111,0.135156,7844
7137,5,0.896528,0.511719,0.201389,0.145313,7845
7793,5,0.890972,0.5125,0.2125,0.148438,7846
7927,5,0.883333,0.511328,0.230556,0.147656,7847
2245,5,0.878472,0.510938,0.243056,0.145313,7848
2082,5,0.870833,0.511328,0.255556,0.147656,7849
7302,5,0.864583,0.509766,0.270833,0.147656,7850
7159,5,0.85625,0.509766,0.284722,0.146094,7851
7771,5,0.850694,0.508594,0.293056,0.148438,7852
7932,5,0.845139,0.507422,0.301389,0.147656,7853
9041,5,0.8375,0.507031,0.319444,0.146875,7854
9145,5,0.829861,0.507031,0.331944,0.146875,7855
8535,5,0.822917,0.507031,0.345833,0.146875,7856
8413,5,0.815278,0.507031,0.361111,0.148438,7857
252,5,0.810417,0.50625,0.370833,0.15,7858
380,5,0.805556,0.505469,0.386111,0.15,7859
2236,5,0.8,0.506641,0.397222,0.150781,7860
2101,5,0.791667,0.506641,0.411111,0.152344,7861
1482,5,0.784722,0.507031,0.425,0.151562,7862
1590,5,0.779861,0.505859,0.434722,0.152344,7863
226,5,0.772917,0.50625,0.448611,0.153125,7864
407,5,0.765972,0.505859,0.465278,0.153906,7865
1003,5,0.761806,0.505469,0.473611,0.153125,7866
855,5,0.75625,0.504687,0.4875,0.154687,7867
9018,5,0.748611,0.505078,0.502778,0.153906,7868
9173,5,0.742361,0.503906,0.5125,0.154687,7869
245,5,0.738194,0.503516,0.518056,0.155469,7870
399,5,0.73125,0.504687,0.526389,0.157813,7871
1008,5,0.725694,0.503516,0.540278,0.155469,7872
843,5,0.718056,0.503906,0.555556,0.154687,7873
2218,5,0.7125,0.503516,0.566667,0.157031,7874
2112,5,0.70625,0.503906,0.579167,0.159375,7875
1477,5,0.701389,0.505469,0.591667,0.164062,7876
1603,5,0.695139,0.503906,0.606944,0.160938,7877
7284,5,0.692361,0.504687,0.615278,0.159375,7878
7164,5,0.6875,0.503906,0.622222,0.159375,7879
8465,5,0.672917,0.502734,0.654167,0.157031,7880
8475,5,0.66875,0.502344,0.6625,0.15625,7881
9114,5,0.663889,0.500781,0.672222,0.15625,7882
9082,5,0.659028,0.501172,0.681944,0.155469,7883
7881,5,0.652778,0.501172,0.694444,0.153906,7884
7831,5,0.651389,0.501172,0.697222,0.153906,7885
7188,5,0.638889,0.500781,0.722222,0.159375,7886
7263,5,0.631944,0.5,0.736111,0.15625,7887
1580,5,0.627083,0.5,0.745833,0.157813,7888
1501,5,0.622222,0.498437,0.755556,0.154687,7889
7889,5,0.619444,0.499219,0.761111,0.154687,7890
7821,5,0.606944,0.498047,0.786111,0.153906,7891
7201,5,0.605556,0.497656,0.780556,0.151562,7892
7251,5,0.59375,0.498047,0.790278,0.153906,7893
8458,5,0.578472,0.495703,0.804167,0.152344,7894
8483,5,0.569444,0.494922,0.8,0.152344,7895
9099,5,0.552083,0.494922,0.823611,0.152344,7896
9094,5,0.539583,0.495313,0.806944,0.151562,7897
928,5,0.528472,0.494141,0.801389,0.152344,7898
935,5,0.5125,0.49375,0.802778,0.151562,7899
2438,5,0.506944,0.493359,0.786111,0.152344,7900
1890,5,0.496528,0.491797,0.770833,0.153906,7901
1265,5,0.486111,0.491016,0.772222,0.149219,7902
1818,5,0.465972,0.490625,0.773611,0.151562,7903
16,5,0.445139,0.492188,0.784722,0.15,7904
612,5,0.440278,0.491797,0.772222,0.147656,7905
1226,5,0.429167,0.490625,0.755556,0.145313,7906
628,5,0.395139,0.488281,0.790278,0.14375,7907
8787,5,0.393056,0.486328,0.772222,0.141406,7908
9414,5,0.388889,0.486719,0.75,0.139062,7909
3,5,0.383333,0.4875,0.741667,0.142188,7910
615,5,0.372222,0.486719,0.744444,0.1375,7911
1224,5,0.366667,0.485547,0.733333,0.139844,7912
640,5,0.361111,0.484375,0.722222,0.142188,7913
2455,5,0.353472,0.483594,0.706944,0.139062,7914
1884,5,0.347222,0.482422,0.694444,0.141406,7915
1268,5,0.339583,0.484766,0.679167,0.141406,7916
1807,5,0.332639,0.483984,0.665278,0.139844,7917
7509,5,0.328472,0.483203,0.651389,0.139844,7918
6948,5,0.319444,0.482812,0.638889,0.139062,7919
8812,5,0.3125,0.484375,0.625,0.139062,7920
9378,5,0.307639,0.483594,0.615278,0.139062,7921
8755,5,0.304167,0.482422,0.602778,0.144531,7922
8195,5,0.297222,0.48125,0.591667,0.145313,7923
7529,5,0.291667,0.480078,0.580556,0.144531,7924
6926,5,0.284722,0.48125,0.566667,0.146875,7925
7547,5,0.280556,0.480078,0.55,0.144531,7926
8160,5,0.274306,0.479688,0.543056,0.145313,7927
2477,5,0.267361,0.479688,0.529167,0.142188,7928
1864,5,0.260417,0.479688,0.518056,0.142188,7929
7532,5,0.254167,0.479297,0.508333,0.141406,7930
6909,5,0.25,0.477734,0.5,0.139844,7931
7562,5,0.245139,0.476562,0.490278,0.140625,7932
8154,5,0.234028,0.477344,0.468056,0.1375,7933
8807,5,0.230556,0.477734,0.461111,0.138281,7934
9394,5,0.225694,0.476953,0.451389,0.138281,7935
8738,5,0.220833,0.476562,0.441667,0.1375,7936
8202,5,0.213194,0.476562,0.426389,0.135937,7937
41,5,0.207639,0.478125,0.415278,0.132812,7938
589,5,0.201389,0.478516,0.397222,0.135156,7939
5836,5,0.193056,0.476172,0.383333,0.136719,7940
6337,5,0.186806,0.476953,0.373611,0.136719,7941
6870,5,0.180556,0.478125,0.361111,0.132812,7942
6398,5,0.174306,0.476172,0.345833,0.132031,7943
5811,5,0.169444,0.477344,0.333333,0.132812,7944
5253,5,0.166667,0.478516,0.330556,0.132031,7945
4717,5,0.164583,0.476953,0.329167,0.130469,7946
5230,5,0.164583,0.477344,0.320833,0.129688,7947
4122,5,0.157639,0.476172,0.309722,0.128906,7948
3602,5,0.142361,0.475391,0.279167,0.130469,7949
5799,5,0.134722,0.475391,0.266667,0.128906,7950
5257,5,0.129861,0.473828,0.256944,0.128906,7951
4710,5,0.124306,0.475,0.245833,0.128125,7952
5243,5,0.119444,0.473828,0.238889,0.125781,7953
5847,5,0.116667,0.471094,0.227778,0.123438,7954
6334,5,0.109028,0.472656,0.215278,0.125,7955
6874,5,0.102778,0.471094,0.202778,0.125,7956
6385,5,0.0965278,0.471484,0.193056,0.124219,7957
3063,5,0.0916667,0.470703,0.183333,0.122656,7958
3559,5,0.0847222,0.469922,0.169444,0.122656,7959
4105,5,0.0798611,0.471094,0.159722,0.123438,7960
3607,5,0.0743056,0.469922,0.148611,0.122656,7961
4170,5,0.06875,0.46875,0.1375,0.117188,7962
4671,5,0.0618056,0.468359,0.123611,0.119531,7963
215,5,0.910417,0.517187,0.179167,0.1375,16499
1741,5,0.899306,0.514453,0.195833,0.144531,16501
2375,5,0.892361,0.516797,0.2125,0.136719,16502
1953,5,0.886806,0.516016,0.218056,0.136719,16503
1132,5,0.877083,0.5125,0.243056,0.139062,16504
716,5,0.872222,0.515625,0.252778,0.1375,16505
97,5,0.865972,0.516406,0.2625,0.132812,16506
535,5,0.858333,0.512109,0.275,0.136719,16507
