,class,x,y,w,h,frameNo
1732,5,0.701389,0.376563,0.591667,0.1125,8519
2359,5,0.693056,0.375,0.597222,0.1125,8520
2201,5,0.677778,0.375,0.594444,0.1125,8521
1989,5,0.656944,0.374219,0.580556,0.110937,8522
2136,5,0.641667,0.374219,0.594444,0.110937,8523
1567,5,0.629167,0.374219,0.586111,0.110937,8524
1741,5,0.618056,0.374219,0.558333,0.110937,8525
1940,5,0.593056,0.373437,0.575,0.109375,8526
1783,5,0.568056,0.372656,0.591667,0.107813,8527
1364,5,0.555556,0.371875,0.583333,0.109375,8528
1530,5,0.540278,0.371094,0.575,0.107813,8529
1575,5,0.525,0.369531,0.572222,0.107813,8530
1738,5,0.511111,0.371094,0.572222,0.107813,8531
1944,5,0.491667,0.36875,0.561111,0.103125,8532
1774,5,0.477778,0.367969,0.572222,0.104687,8533
2351,5,0.463889,0.367188,0.561111,0.103125,8534
2204,5,0.448611,0.367969,0.558333,0.104687,8535
1985,5,0.438889,0.36875,0.55,0.103125,8536
2145,5,0.419444,0.369531,0.561111,0.101562,8537
918,5,0.415278,0.36875,0.536111,0.103125,8538
767,5,0.408333,0.369531,0.538889,0.104687,8539
2951,5,0.4,0.367188,0.516667,0.103125,8540
2815,5,0.377778,0.367188,0.538889,0.103125,8541
3008,5,0.354167,0.366406,0.536111,0.104687,8542
3157,5,0.348611,0.366406,0.491667,0.101562,8543
2599,5,0.3375,0.365625,0.497222,0.103125,8544
2756,5,0.336111,0.366406,0.472222,0.101562,8545
2564,5,0.338889,0.365625,0.466667,0.103125,8546
2402,5,0.344444,0.364844,0.405556,0.101562,8547
395,5,0.358333,0.363281,0.35,0.0984375,8548
546,5,0.326389,0.364062,0.391667,0.1,8549
2597,5,0.35,0.364062,0.316667,0.1,8550
2763,5,0.344444,0.364062,0.3,0.1,8551
2553,5,0.322222,0.364062,0.311111,0.103125,8552
2409,5,0.276389,0.363281,0.380556,0.101562,8553
2953,5,0.276389,0.364062,0.347222,0.103125,8554
2810,5,0.258333,0.364062,0.344444,0.103125,8555
3020,5,0.252778,0.363281,0.333333,0.101562,8556
3148,5,0.288889,0.363281,0.244444,0.0984375,8557
337,5,0.2375,0.364844,0.325,0.101562,8558
212,5,0.234722,0.364844,0.291667,0.0984375,8559
2492,5,0.9125,0.377344,0.175,0.117188,8630
2469,5,0.904167,0.375781,0.186111,0.117188,8631
2667,5,0.893056,0.376563,0.202778,0.11875,8632
2691,5,0.8875,0.376563,0.219444,0.115625,8633
3077,5,0.879167,0.377344,0.236111,0.114063,8634
3091,5,0.870833,0.377344,0.258333,0.114063,8635
2887,5,0.8625,0.377344,0.275,0.114063,8636
2874,5,0.852778,0.375781,0.288889,0.110937,8637
83,5,0.845833,0.376563,0.308333,0.115625,8638
93,5,0.838889,0.376563,0.322222,0.115625,8639
2051,5,0.827778,0.377344,0.338889,0.114063,8640
2074,5,0.819444,0.376563,0.355556,0.1125,8641
2286,5,0.8125,0.375781,0.375,0.107813,8642
1876,5,0.780556,0.375781,0.394444,0.110937,8644
1847,5,0.777778,0.374219,0.405556,0.110937,8645
1643,5,0.754167,0.374219,0.402778,0.114063,8646
1661,5,0.765278,0.372656,0.469444,0.107813,8647
1258,5,0.759722,0.372656,0.475,0.107813,8648
1236,5,0.756944,0.371875,0.486111,0.10625,8649
1870,5,0.748611,0.371875,0.497222,0.10625,8650
1851,5,0.7375,0.371094,0.502778,0.107813,8651
1638,5,0.734722,0.371094,0.530556,0.110937,8652
1668,5,0.723611,0.371094,0.552778,0.110937,8653
2056,5,0.715278,0.36875,0.569444,0.10625,8654
2070,5,0.697222,0.370313,0.605556,0.1125,8655
2291,5,0.7,0.367969,0.6,0.107813,8656
2265,5,0.686111,0.369531,0.627778,0.110937,8657
1042,5,0.684722,0.371875,0.630556,0.115625,8658
1053,5,0.663889,0.371875,0.616667,0.1125,8659
1253,5,0.645833,0.371875,0.608333,0.1125,8660
1237,5,0.638889,0.373437,0.605556,0.1125,8661
1442,5,0.627778,0.374219,0.594444,0.110937,8662
1454,5,0.618056,0.372656,0.586111,0.110937,8663
1059,5,0.569444,0.36875,0.605556,0.115625,8665
852,5,0.558333,0.367969,0.605556,0.110937,8666
833,5,0.540278,0.370313,0.597222,0.109375,8667
2048,5,0.527778,0.367969,0.605556,0.107813,8668
2079,5,0.513889,0.365625,0.588889,0.109375,8669
1037,5,0.493056,0.367188,0.580556,0.109375,8670
1054,5,0.486111,0.367969,0.583333,0.107813,8671
858,5,0.470833,0.364844,0.575,0.107813,8672
832,5,0.4625,0.365625,0.558333,0.109375,8673
1251,5,0.451389,0.364062,0.563889,0.109375,8674
1244,5,0.448611,0.364062,0.536111,0.10625,8675
1435,5,0.415278,0.367969,0.586111,0.104687,8676
1455,5,0.409722,0.367188,0.558333,0.103125,8677
1868,5,0.413889,0.367188,0.516667,0.103125,8678
1855,5,0.420833,0.366406,0.475,0.104687,8679
2277,5,0.413889,0.367188,0.455556,0.1,8680
2279,5,0.401389,0.365625,0.447222,0.103125,8681
2063,5,0.3875,0.365625,0.430556,0.103125,8682
2062,5,0.377778,0.364844,0.422222,0.104687,8683
1648,5,0.365278,0.365625,0.408333,0.103125,8685
